track_name,track_artist,track_popularity,playlist_genre,track_album_release_year,track_album_release_month,metrics,value
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,pop,2019,6,danceability,0.748
Memories - Dillon Francis Remix,Maroon 5,67,pop,2019,12,danceability,0.726
All the Time - Don Diablo Remix,Zara Larsson,70,pop,2019,7,danceability,0.675
Call You Mine - Keanu Silva Remix,The Chainsmokers,60,pop,2019,7,danceability,0.718
Someone You Loved - Future Humans Remix,Lewis Capaldi,69,pop,2019,3,danceability,0.65
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,pop,2019,7,danceability,0.675
Never Really Over - R3HAB Remix,Katy Perry,62,pop,2019,7,danceability,0.449
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,69,pop,2019,8,danceability,0.542
Tough Love - Tiësto Remix / Radio Edit,Avicii,68,pop,2019,6,danceability,0.594
If I Can't Have You - Gryffin Remix,Shawn Mendes,67,pop,2019,6,danceability,0.642
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,pop,2019,6,danceability,0.679
Hate Me - R3HAB Remix,Ellie Goulding,67,pop,2019,8,danceability,0.437
Body On My,Loud Luxury,67,pop,2019,3,danceability,0.744
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,pop,2019,5,danceability,0.572
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63,pop,2019,7,danceability,0.69
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,pop,2019,12,danceability,0.805
All My Friends - Eden Prince Remix,AJ Mitchell,60,pop,2019,5,danceability,0.694
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,69,pop,2019,3,danceability,0.746
Let It Be Me - Sondr Remix,Steve Aoki,35,pop,2019,10,danceability,0.467
Heaven - David Guetta & MORTEN Remix,Avicii,70,pop,2019,8,danceability,0.572
All Around The World (La La La) - Marnik Remix,R3HAB,64,pop,2019,8,danceability,0.708
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,pop,2019,5,danceability,0.684
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,70,pop,2019,10,danceability,0.732
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,pop,2019,5,danceability,0.62
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,63,pop,2019,6,danceability,0.675
One Thing Right - Firebeatz Remix,Marshmello,66,pop,2019,8,danceability,0.682
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,8,pop,2019,2,danceability,0.663
So Am I - Toby Green Remix,Ava Max,62,pop,2019,5,danceability,0.625
When You Leave - Breathe Carolina Remix,Nikki Vianna,30,pop,2019,4,danceability,0.679
Mother - Fedde Le Grand Remix,Charlie Puth,56,pop,2019,11,danceability,0.641
Torn - KREAM Remix,Ava Max,60,pop,2019,9,danceability,0.742
Quite Miss Home - Steve Void Remix,James Arthur,60,pop,2019,11,danceability,0.716
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55,pop,2019,6,danceability,0.748
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,67,pop,2019,7,danceability,0.563
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,55,pop,2019,6,danceability,0.728
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,56,pop,2019,10,danceability,0.846
Higher Love,Kygo,87,pop,2019,6,danceability,0.693
Unlove You,Armin van Buuren,62,pop,2019,10,danceability,0.678
bad guy (with Justin Bieber),Billie Eilish,83,pop,2019,7,danceability,0.67
Freaking Me Out - Keanu Silva Remix,Ava Max,55,pop,2019,11,danceability,0.755
Heaven Can Wait - The Aston Shuffle Remix,Sia,61,pop,2019,5,danceability,0.622
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,56,pop,2019,10,danceability,0.789
Gone - The Wild Remix,Charli XCX,57,pop,2019,8,danceability,0.64
American Boy - Brooks Remix,Estelle,56,pop,2019,6,danceability,0.609
Million Pieces - M-22 Remix,Bastille,53,pop,2019,9,danceability,0.64
joy. (R3HAB Remix),for KING & COUNTRY,56,pop,2019,1,danceability,0.75
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34,pop,2019,11,danceability,0.535
